key,campeonato,data,hora,cidade,estadio,casa,fora,gols_casa,gols_fora,gols_casa_ht,gols_fora_ht,tec_casa,tec_fora,nota_casa,nota_fora,escalacao_casa,escalacao_fora,shots_off_target_casa,shots_off_target_fora,ball_possession_casa,ball_possession_fora,aerials_won_casa,aerials_won_fora,dribbles_casa,dribbles_fora,offsides_casa,offsides_fora,shots_outside_box_casa,shots_outside_box_fora,big_chances_casa,big_chances_fora,accurate_passes_casa,accurate_passes_fora,shots_on_target_casa,shots_on_target_fora,goalkeeper_saves_casa,goalkeeper_saves_fora,counter_attack_goals_casa,counter_attack_goals_fora,corner_kicks_casa,corner_kicks_fora,possession_lost_casa,possession_lost_fora,counter_attack_shots_casa,counter_attack_shots_fora,counter_attacks_casa,counter_attacks_fora,fouls_casa,fouls_fora,tackles_casa,tackles_fora,total_shots_casa,total_shots_fora,interceptions_casa,interceptions_fora,passes_casa,passes_fora,crosses_casa,crosses_fora,clearances_casa,clearances_fora,hit_woodwork_casa,hit_woodwork_fora,long_balls_casa,long_balls_fora,duels_won_casa,duels_won_fora,blocked_shots_casa,blocked_shots_fora,big_chances_missed_casa,big_chances_missed_fora,shots_inside_box_casa,shots_inside_box_fora,yellow_cards_casa,yellow_cards_fora,red_cards_casa,red_cards_fora
15/04/2023AthleticoGoiásBrasileiroSérieA2023,Brasileiro Série A 2023,15/04/2023,18:30,Curitiba,Arena da Baixada,Athletico,Goiás,2,0,1,0,Paulo Turra,Emerson Ávila,7.0,6.71,"['Bento', 'Madson', 'Pedro Henrique', 'Thiago Heleno', 'Pedrinho', 'Hugo Moura', 'Christian', 'Léo Cittadini', 'Vitor Bueno', 'Rômulo', 'Pablo']","['Tadeu', 'Maguinho', 'Sidimar', 'Bruno Melo', 'Sander', 'Zé Ricardo', 'Everton Morelli', 'Diego Gonçalves', 'Dieguinho', 'Vinícius', 'Matheus Peixoto']",4,8,44%,56%,23,26,6/10 (60%),15/20 (75%),1,1,3,9,2,1,289 (79%),397 (83%),3,2,2,1,0,0,3,8,131,134,0,0,0,0,19,18,16,12,11,16,12,10,368,478,5/20 (25%),5/23 (22%),14,23,0,0,31/58 (53%),29/49 (59%),62,71,4,6,0,1,8,7,2,3,0,0
15/04/2023PalmeirasCuiabáBrasileiroSérieA2023,Brasileiro Série A 2023,15/04/2023,16:00,Sao Paulo,Allianz Parque,Palmeiras,Cuiabá,2,1,1,1,Abel Ferreira,Ivo Vieira,6.94,6.61,"['Weverton', 'Marcos Rocha', 'Gustavo Gómez', 'Murilo', 'Vanderlan', 'Zé Rafael', 'Gabriel Menino', 'Artur', 'José López', 'Dudu', 'Endrick']","['Walter', 'Mateusinho', 'Marllon', 'Allyson', 'Patric Calmon', 'Raniele', 'Filipe Augusto', 'Jonathan Cafú', 'Pablo Ceppelini', 'Emerson Ramon', 'Deyverson']",7,6,52%,48%,16,21,21/26 (81%),10/16 (63%),3,2,7,6,3,2,382 (84%),337 (79%),5,4,3,3,0,0,4,4,133,144,1,0,1,0,23,12,17,16,17,12,7,10,455,426,8/22 (36%),5/14 (36%),10,22,1,0,41/68 (60%),23/46 (50%),66,68,5,2,2,1,10,6,2,5,0,1
15/04/2023AméricaMineiroFluminenseBrasileiroSérieA2023,Brasileiro Série A 2023,15/04/2023,16:00,Belo Horizonte,Arena Independência,América Mineiro,Fluminense,0,3,0,0,Vagner Mancini,Fernando Diniz,6.66,7.04,"['Matheus Cavichioli', 'Nino Paraíba', 'Éder Ferreira', 'Iago Maidana', 'Marlon Lopes', 'Emmanuel Martínez', 'Alê', 'Everaldo', 'Juninho', 'Felipe Azevedo', 'Henrique Almeida']","['Fábio', 'Samuel Xavier', 'Nino', 'Vitor Mendes', 'Alexsander', 'André', 'Lima', 'Ganso', 'Gabriel Pirani', 'John Kennedy', 'Germán Cano']",9,3,46%,54%,8,17,10/15 (67%),11/19 (58%),2,3,6,5,1,6,266 (80%),368 (84%),2,8,5,2,0,1,11,1,131,119,1,2,1,3,25,9,19,15,17,15,16,9,333,440,10/43 (23%),1/6 (17%),6,26,1,1,25/50 (50%),23/53 (43%),46,67,6,4,1,4,11,10,3,2,0,0
22/04/2023SãoPauloAméricaMineiroBrasileiroSérieA2023,Brasileiro Série A 2023,22/04/2023,18:30,Sao Paulo,Estádio Cicero Pompeu de Toledo,São Paulo,América Mineiro,3,0,1,0,Dorival Júnior,Vagner Mancini,7.2,6.53,"['Rafael', 'Raí Ramos', 'Robert Arboleda', 'Lucas Beraldo', 'Patryck', 'Luan', 'Pablo Maia', 'Michel Araújo', 'Rodrigo Nestor', 'Luciano', 'Jonathan Calleri']","['Matheus Cavichioli', 'Nino Paraíba', 'Ricardo Silva', 'Éder Ferreira', 'Marlon Lopes', 'Lucas Kal', 'Emmanuel Martínez', 'Matheusinho', 'Juninho', 'Everaldo', 'Aloísio']",8,8,53%,47%,16,15,8/12 (67%),7/16 (44%),1,3,7,10,4,3,364 (84%),312 (81%),6,8,8,3,0,0,3,7,119,126,1,0,1,0,18,12,13,11,17,22,7,6,435,385,7/20 (35%),3/24 (13%),25,13,0,2,29/66 (44%),30/49 (61%),49,50,3,6,2,3,10,12,5,3,0,0
22/04/2023CuiabáRedBullBragantinoBrasileiroSérieA2023,Brasileiro Série A 2023,22/04/2023,18:30,Cuiaba,Arena Pantanal,Cuiabá,Red Bull Bragantino,1,1,0,0,Ivo Vieira,Pedro Caixinha,6.78,6.74,"['Walter', 'Mateusinho', 'Marllon', 'Allyson', 'Patric Calmon', 'Raniele', 'Denilson', 'Emerson Ramon', 'Pablo Ceppelini', 'Iury Castilho', 'Deyverson']","['Lucão', 'Aderlan', 'Eduardo Santos', 'Natan', 'Juninho Capixaba', 'Lucas Evangelista', 'Matheus Fernandes', 'Gustavinho', 'Helinho', 'Eduardo Sasha', 'Henry Mosquera']",8,4,34%,66%,22,15,10/17 (59%),10/20 (50%),3,2,5,3,2,2,169 (69%),409 (81%),3,2,1,2,0,0,4,5,133,156,0,0,0,0,17,21,14,12,14,7,8,8,245,508,4/20 (20%),2/21 (10%),26,25,0,0,23/55 (42%),26/59 (44%),67,53,3,1,1,1,9,4,3,3,0,0
22/04/2023FluminenseAthleticoBrasileiroSérieA2023,Brasileiro Série A 2023,22/04/2023,16:00,Rio de Janeiro,Estádio do Maracanã,Fluminense,Athletico,2,0,1,0,Fernando Diniz,Paulo Turra,6.96,6.61,"['Fábio', 'Samuel Xavier', 'Nino', 'Felipe Melo', 'Alexsander', 'André', 'Lima', 'Jhon Arias', 'Ganso', 'Keno', 'Germán Cano']","['Bento', 'Madson', 'Pedro Henrique', 'Thiago Heleno', 'Pedrinho', 'Erick', 'Fernandinho', 'Tomás Cuello', 'Léo Cittadini', 'Thiago Andrade', 'Pablo']",6,4,62%,38%,17,13,8/15 (53%),10/17 (59%),3,1,8,6,1,1,489 (87%),279 (82%),4,1,1,2,0,0,10,6,127,108,1,1,1,1,13,20,14,15,14,10,5,15,559,341,4/26 (15%),3/16 (19%),13,23,1,0,18/35 (51%),27/50 (54%),59,51,4,5,1,1,6,4,3,3,0,0
16/04/2023GrêmioSantosBrasileiroSérieA2023,Brasileiro Série A 2023,16/04/2023,18:30,Caxias do Sul,Estádio Alfredo Jaconi,Grêmio,Santos,1,0,1,0,Renato Gaúcho,Odair Hellmann,6.97,6.84,"['Adriel', 'João Pedro', 'Bruno Alves', 'Walter Kannemann', 'Diogo Barbosa', 'Mathias Villasanti', 'Bitello', 'Vina', 'Franco Cristaldo', 'Zinho', 'Luis Suárez']","['João Paulo', 'Nathan', 'Messias', 'Eduardo Bauermann', 'Felipe Jonatan', 'Guilherme Camacho', 'Dodi', 'Daniel Ruíz', 'Lucas Barbosa', 'Marcos Leonardo', 'Lucas Lima']",6,8,45%,55%,15,13,13/28 (46%),16/29 (55%),1,1,9,4,1,1,311 (77%),382 (81%),6,4,4,5,0,0,4,11,146,160,0,0,0,0,12,16,28,25,17,16,11,12,402,471,1/11 (9%),11/31 (35%),19,15,0,0,18/53 (34%),22/48 (46%),71,66,5,4,1,1,8,12,3,4,0,1
16/04/2023FlamengoCoritibaBrasileiroSérieA2023,Brasileiro Série A 2023,16/04/2023,16:00,Rio de Janeiro,Estádio do Maracanã,Flamengo,Coritiba,3,0,1,0,Jorge Sampaoli,António Oliveira,7.13,6.63,"['Santos', 'Wesley França', 'Fabrício Bruno', 'Léo Pereira', 'Ayrton Lucas', 'Gerson', 'Thiago Maia', 'Everton Ribeiro', 'Matheus França', 'Everton', 'Gabriel Barbosa']","['Gabriel Vasconcelos', 'Natanael', 'Jhon Chancellor', 'Benjamin Kuscevic', 'Victor Luis', 'Liziero', 'Júnior Urso', 'Bruno Gomes', 'William Pottker', 'Rodrigo Pinho', 'Alef Manga']",5,2,59%,41%,8,10,13/28 (46%),18/29 (62%),1,2,10,7,2,0,478 (88%),323 (85%),7,3,3,4,0,0,6,3,119,115,0,0,0,0,20,17,23,28,15,10,12,11,541,380,4/16 (25%),3/12 (25%),13,15,1,0,36/48 (75%),30/47 (64%),60,74,3,5,0,0,5,3,3,3,0,0
16/04/2023CorinthiansCruzeiroBrasileiroSérieA2023,Brasileiro Série A 2023,16/04/2023,16:00,Sao Paulo,Neo Química Arena,Corinthians,Cruzeiro,2,1,0,0,Fernando Lázaro,Pepa,6.85,6.68,"['Cássio', 'Fagner', 'Bruno Méndez', 'Gil', 'Matheus Bidú', 'Fausto Vera', 'Roni', 'Chrystian Barletta', 'Róger Guedes', 'Giuliano', 'Yuri Alberto']","['Rafael Cabral', 'William', 'Lucas Oliveira', 'Luciano Castan', 'Marlon', 'Richard Cândido', 'Ramiro', 'Wesley', 'Mateus Vital', 'Bruno Rodrigues', 'Gilberto']",4,3,41%,59%,14,7,6/14 (43%),9/18 (50%),4,3,6,4,3,1,315 (78%),495 (86%),7,2,1,5,0,0,7,4,134,147,0,0,0,0,14,12,19,14,12,8,12,7,405,576,4/15 (27%),4/24 (17%),22,20,0,0,16/51 (31%),24/42 (57%),50,44,1,3,1,0,6,4,4,2,0,0
15/04/2023AtléticoMineiroVascodaGamaBrasileiroSérieA2023,Brasileiro Série A 2023,15/04/2023,21:00,Belo Horizonte,Governador Magalhaes Pinto,Atlético Mineiro,Vasco da Gama,1,2,1,2,Eduardo Coudet,Mauricio Barbieri,6.91,6.94,"['Éverson', 'Renzo Saravia', 'Mauricio Lemos', 'Jemerson', 'Rubens', 'Matías Zaracho', 'Otávio', 'Hyoran', 'Cristian Pavón', 'Hulk', 'Paulinho']","['Léo Jardim', 'Puma Rodríguez', 'Robson Bambu', 'Léo', 'Lucas Piton', 'Rodrigo', 'Jair', 'Andrey Santos', 'Gabriel Pec', 'Pedro Raul', 'Alex Teixeira']",7,1,74%,26%,16,12,15/23 (65%),7/19 (37%),2,2,11,1,2,1,527 (88%),136 (66%),10,3,1,9,0,0,14,3,156,129,0,0,0,0,15,10,20,27,26,7,6,12,601,207,11/46 (24%),6/12 (50%),10,31,0,0,22/40 (55%),19/51 (37%),60,61,9,3,2,0,15,6,6,5,0,0
15/04/2023BotafogoSãoPauloBrasileiroSérieA2023,Brasileiro Série A 2023,15/04/2023,18:30,Rio de Janeiro,Estádio Nilton Santos,Botafogo,São Paulo,2,1,1,1,Luís Castro,Rogério Ceni,6.83,6.88,"['Lucas Perri', 'Leonel Di Plácido', 'Adryelson', 'Víctor Cuesta', 'Rafael', 'Tchê Tchê', 'Danilo Barbosa', 'Gustavo Sauer', 'Eduardo', 'Júnior Santos', 'Tiquinho Soares']","['Rafael', 'Rafinha', 'Robert Arboleda', 'Alan Franco', 'Caio Paulista', 'Jhegson Méndez', 'Michel Araújo', 'Rodrigo Nestor', 'Luciano', 'Wellington Rato', 'Jonathan Calleri']",5,6,32%,68%,11,11,15/22 (68%),15/18 (83%),2,1,6,5,2,2,230 (78%),574 (89%),3,8,7,1,0,0,3,7,110,115,1,1,1,1,20,13,9,15,12,16,17,6,295,647,2/15 (13%),4/18 (22%),19,14,0,0,21/46 (46%),35/56 (63%),45,61,4,2,1,1,6,11,3,2,0,0
15/04/2023FortalezaInternacionalBrasileiroSérieA2023,Brasileiro Série A 2023,15/04/2023,18:30,Fortaleza,Estadio Castelão,Fortaleza,Internacional,1,1,0,0,Juan Pablo Vojvoda,Mano Menezes,6.74,6.96,"['Fernando Miguel', 'Tinga', 'Emanuel Brítez', 'Titi', 'Bruno Pacheco', 'Lucas Sasha', 'Caio Alexandre', 'Calebe', 'Moisés', 'Juan Martín Lucero', 'Thiago Galhardo']","['John', 'Igor Gomes', 'Vitão', 'Rodrigo Moledo', 'Renê', 'Johnny', 'Gabriel Baralhas', 'Pedro Henrique', 'Alan Patrick', 'Wanderson', 'Alexandre Alemão']",7,5,47%,53%,19,16,11/21 (52%),25/34 (74%),0,2,14,5,0,1,319 (80%),378 (80%),6,6,5,5,0,0,5,1,139,143,0,0,0,0,18,13,17,19,24,11,12,15,399,471,6/27 (22%),1/9 (11%),14,23,0,0,23/48 (48%),8/33 (24%),60,76,11,0,0,1,10,6,2,1,0,0
15/04/2023RedBullBragantinoBahiaBrasileiroSérieA2023,Brasileiro Série A 2023,15/04/2023,18:30,Braganca Paulista,Estadio Nabi Abi Chedid,Red Bull Bragantino,Bahia,2,1,0,1,Pedro Caixinha,Renato Paiva,6.8,6.75,"['Lucão', 'Aderlan', 'Leonardo Realpe', 'Natan', 'Juninho Capixaba', 'Jadsom', 'Matheus Fernandes', 'Ignacio Laquintana', 'Bruninho', 'Talisson', 'Alerrandro']","['Marcos Felipe', 'Gabriel Xavier', 'Kanu', 'Rezende', 'Vítor Jacaré', 'Thaciano', 'Yago Felipe', 'Jhoanner Chávez', 'Ademir', 'Everaldo', 'Cauly']",4,5,56%,44%,8,11,14/22 (64%),12/21 (57%),2,3,7,4,4,2,337 (77%),248 (72%),7,3,2,5,0,0,4,7,155,168,0,0,0,0,20,13,26,11,13,9,12,12,435,343,1/17 (6%),3/14 (21%),18,18,1,0,20/51 (39%),37/72 (51%),61,54,2,1,2,1,6,5,3,1,0,0
29/04/2023SantosAméricaMineiroBrasileiroSérieA2023,Brasileiro Série A 2023,29/04/2023,18:30,Santos,Urbano Caldeira,Santos,América Mineiro,3,2,2,1,Odair Hellmann,Vagner Mancini,6.89,6.71,"['João Paulo', 'Nathan', 'Messias', 'Eduardo Bauermann', 'Lucas Pires', 'Lucas Lima', 'Rodrigo Fernández', 'Dodi', 'Stiven Mendoza', 'Marcos Leonardo', 'Yeferson Soteldo']","['Matheus Cavichioli', 'Arthur', 'Éder Ferreira', 'Iago Maidana', 'Marlon Lopes', 'Alê', 'Matheusinho', 'Juninho', 'Martín Benítez', 'Everaldo', 'Aloísio']",4,7,44%,56%,19,23,7/10 (70%),11/16 (69%),0,1,3,12,3,2,216 (73%),283 (77%),6,8,6,3,0,0,2,6,129,146,0,1,0,1,19,16,17,14,12,19,10,8,294,369,2/17 (12%),7/24 (29%),30,16,0,1,20/47 (43%),20/40 (50%),58,66,2,4,0,1,9,7,3,4,1,0
29/04/2023CoritibaSãoPauloBrasileiroSérieA2023,Brasileiro Série A 2023,29/04/2023,16:30,Curitiba,Estádio Couto Pereira,Coritiba,São Paulo,1,1,1,0,Antonio Carlos Zago,Dorival Júnior,6.91,6.99,"['Gabriel Vasconcelos', 'Benjamin Kuscevic', 'Bruno Viana', 'Victor Luis', 'Natanael', 'Bruno Gomes', 'Willian Farias', 'Jamerson', 'Kaio César', 'Alef Manga', 'Rodrigo Pinho']","['Rafael', 'Raí Ramos', 'Diego Costa', 'Lucas Beraldo', 'Caio Paulista', 'Pablo Maia', 'Luan', 'Wellington Rato', 'Rodrigo Nestor', 'Alisson', 'Luciano']",8,9,33%,67%,12,13,8/18 (44%),15/28 (54%),2,2,4,14,2,1,211 (73%),539 (88%),5,6,5,4,0,0,7,6,126,120,3,0,3,0,14,12,23,20,16,23,15,12,288,614,7/22 (32%),3/11 (27%),18,18,0,1,23/54 (43%),32/50 (64%),55,61,3,8,2,1,12,9,4,1,0,0
29/04/2023FortalezaFluminenseBrasileiroSérieA2023,Brasileiro Série A 2023,29/04/2023,16:30,Fortaleza,Estadio Castelão,Fortaleza,Fluminense,4,2,2,1,Juan Pablo Vojvoda,Fernando Diniz,6.94,6.79,"['Fernando Miguel', 'Tinga', 'Emanuel Brítez', 'Titi', 'Bruno Pacheco', 'Calebe', 'Hércules', 'Caio Alexandre', 'Moisés', 'Tomás Pochettino', 'Thiago Galhardo']","['Fábio', 'Guga', 'Nino', 'Manoel', 'Alexsander', 'André', 'Lima', 'Gabriel Pirani', 'Alan', 'John Kennedy', 'Lelê']",2,3,30%,70%,12,13,10/20 (50%),15/34 (44%),2,1,5,4,10,2,196 (77%),541 (90%),18,3,1,13,2,0,8,5,105,124,4,0,5,0,8,15,27,12,20,12,7,3,254,599,6/15 (40%),9/21 (43%),17,16,0,1,18/43 (42%),10/17 (59%),63,47,0,6,6,0,15,8,0,3,0,0
24/04/2023BahiaBotafogoBrasileiroSérieA2023,Brasileiro Série A 2023,24/04/2023,20:00,Salvador,Arena Fonte Nova,Bahia,Botafogo,1,2,1,1,Renato Paiva,Luís Castro,6.61,6.93,"['Marcos Felipe', 'Vítor Jacaré', 'Gabriel Xavier', 'David Duarte', 'Rezende', 'Jhoanner Chávez', 'Ademir', 'Nicolás Acevedo', 'Yago Felipe', 'Cauly', 'Everaldo']","['Lucas Perri', 'Leonel Di Plácido', 'Adryelson', 'Víctor Cuesta', 'Rafael', 'Danilo Barbosa', 'Lucas Fernandes', 'Júnior Santos', 'Eduardo', 'Victor Sá', 'Tiquinho Soares']",3,2,60%,40%,11,14,11/26 (42%),20/31 (65%),0,5,4,3,0,0,452 (84%),288 (79%),5,3,1,4,0,0,6,3,149,147,0,0,0,0,18,9,20,24,13,5,13,15,540,366,3/21 (14%),1/13 (8%),15,30,0,0,33/51 (65%),21/50 (42%),51,74,5,0,0,0,9,2,1,2,0,0
23/04/2023GoiásCorinthiansBrasileiroSérieA2023,Brasileiro Série A 2023,23/04/2023,19:00,Goiania,Estádio da Serrinha,Goiás,Corinthians,3,1,1,1,Emerson Ávila,Cuca,6.98,6.55,"['Tadeu', 'Maguinho', 'Lucas Halter', 'Bruno Melo', 'Sander', 'Zé Ricardo', 'Everton Morelli', 'Dieguinho', 'Julián Palacios', 'Vinícius', 'Matheus Peixoto']","['Cássio', 'Bruno Méndez', 'Gil', 'Fabián Balbuena', 'Fábio Santos', 'Du Queiroz', 'Fausto Vera', 'Giuliano', 'Róger Guedes', 'Chrystian Barletta', 'Yuri Alberto']",6,4,51%,49%,15,10,15/24 (63%),4/9 (44%),4,1,9,5,3,0,318 (81%),317 (81%),7,2,1,4,0,0,5,8,134,121,1,1,1,1,21,23,12,16,18,10,14,13,392,392,7/30 (23%),2/12 (17%),14,24,0,0,33/51 (65%),23/52 (44%),62,49,5,4,1,0,9,5,5,2,0,0
