key,shots_off_target_casa,shots_off_target_fora,ball_possession_casa,ball_possession_fora,aerials_won_casa,aerials_won_fora,dribbles_casa,dribbles_fora,offsides_casa,offsides_fora,shots_outside_box_casa,shots_outside_box_fora,big_chances_casa,big_chances_fora,accurate_passes_casa,accurate_passes_fora,shots_on_target_casa,shots_on_target_fora,goalkeeper_saves_casa,goalkeeper_saves_fora,counter_attack_goals_casa,counter_attack_goals_fora,corner_kicks_casa,corner_kicks_fora,possession_lost_casa,possession_lost_fora,counter_attack_shots_casa,counter_attack_shots_fora,counter_attacks_casa,counter_attacks_fora,fouls_casa,fouls_fora,tackles_casa,tackles_fora,total_shots_casa,total_shots_fora,interceptions_casa,interceptions_fora,passes_casa,passes_fora,crosses_casa,crosses_fora,clearances_casa,clearances_fora,hit_woodwork_casa,hit_woodwork_fora,long_balls_casa,long_balls_fora,duels_won_casa,duels_won_fora,blocked_shots_casa,blocked_shots_fora,big_chances_missed_casa,big_chances_missed_fora,shots_inside_box_casa,shots_inside_box_fora,yellow_cards_casa,yellow_cards_fora,red_cards_casa,red_cards_fora
29/05/2021ConfiançaCruzeiroECBrasileiroSerieB2021,2,4,69%,31%,11,4,3/5 (60%),2/4 (50%),6,1,5,4,2,1,262 (87%),100 (72%),4,1,0,2,1,0,2,1,58,48,1,0,2,0,0,0,5,3,9,5,3,6,300,138,0/8 (0%),1/2 (50%),5,12,1,1,17/21 (81%),7/31 (23%),22,18,3,0,0,0,4,1,3,0,0,0
03/06/2021CruzeiroECJuazeirenseCopadoBrasil2021,4,0,63%,37%,16,12,4/7 (57%),2/3 (67%),0,1,1,0,2,0,243 (86%),121 (72%),1,1,1,0,0,0,8,0,78,70,0,0,0,0,0,0,6,14,7,2,3,10,282,169,3/10 (30%),0/2 (0%),6,8,0,0,12/19 (63%),17/36 (47%),34,42,2,1,1,0,6,2,3,3,0,0
06/06/2021CruzeiroECCRBBrasileiroSerieB2021,5,3,59%,41%,11,9,5/12 (42%),3/6 (50%),0,0,4,3,0,0,208 (84%),146 (78%),5,2,0,3,0,0,7,1,81,60,0,0,0,0,0,0,5,12,11,5,5,6,248,186,8/27 (30%),1/3 (33%),2,21,0,1,22/32 (69%),17/38 (45%),25,27,1,0,0,0,7,2,1,2,0,0
12/06/2021CruzeiroECGoiásBrasileiroSerieB2021,2,2,74%,27%,3,6,2/7 (29%),4/6 (67%),2,0,3,2,1,0,320 (91%),91 (69%),2,2,2,1,0,0,5,0,63,60,0,1,0,1,0,0,4,7,7,4,6,5,352,131,4/17 (24%),0/2 (0%),1,7,0,0,26/34 (76%),10/29 (34%),14,24,3,0,1,0,4,2,0,1,0,0
16/06/2021PontePretaCruzeiroECBrasileiroSerieB2021,2,2,68%,32%,8,11,1/6 (17%),4/6 (67%),1,0,2,2,0,0,239 (82%),92 (68%),1,1,0,1,0,0,1,1,77,63,0,0,0,0,0,0,4,9,3,4,1,5,290,135,1/5 (20%),1/5 (20%),7,7,0,0,19/38 (50%),16/35 (46%),22,31,0,1,0,0,1,2,0,1,0,0
19/06/2021OperárioFerroviárioCruzeiroECBrasileiroSerieB2021,3,1,65%,35%,6,6,3/7 (43%),1/2 (50%),1,0,2,0,0,0,231 (85%),96 (65%),1,1,1,0,0,0,0,3,73,72,0,0,0,0,0,0,3,10,4,5,4,1,272,148,5/15 (33%),2/5 (40%),5,11,0,0,16/32 (50%),18/46 (39%),16,27,0,3,0,0,2,5,2,1,0,0
24/06/2021CruzeiroECVascodaGamaBrasileiroSerieB2021,1,8,44%,56%,6,14,1/6 (17%),8/13 (62%),0,4,1,4,0,0,147 (77%),201 (84%),0,2,2,0,0,0,0,6,62,67,0,0,0,0,0,0,12,7,1,13,3,9,191,238,1/6 (17%),7/15 (47%),12,5,0,0,22/42 (52%),13/22 (59%),26,42,0,3,0,0,0,9,1,2,0,0
14/04/2021AméricaRNCruzeiroECCopadoBrasil2021,2,6,26%,74%,3,6,4/8 (50%),3/7 (43%),1,2,2,6,1,2,65 (63%),260 (88%),2,3,2,2,0,0,1,4,54,59,1,0,1,0,0,0,9,6,5,13,8,2,104,296,1/5 (20%),4/10 (40%),8,2,0,1,11/31 (35%),14/19 (74%),26,23,1,4,1,1,3,7,1,1,0,0
16/01/2021JuventudeCruzeiroECBrasileiroSerieB2020,3,8,29%,71%,10,11,2/2 (100%),4/11 (36%),2,3,2,8,0,0,73 (63%),214 (81%),1,2,2,1,0,0,0,5,63,86,2,0,2,0,0,0,13,1,5,14,9,5,115,263,1/3 (33%),8/17 (47%),17,1,0,1,12/43 (28%),26/41 (63%),27,24,1,4,0,0,3,6,4,1,0,0
20/01/2021CruzeiroECOperárioFerroviárioBrasileiroSerieB2020,2,3,37%,63%,6,5,5/9 (56%),4/6 (67%),1,1,1,6,3,0,90 (68%),185 (82%),3,2,1,2,0,0,5,7,65,71,2,0,2,0,0,0,4,5,9,6,7,2,132,226,2/9 (22%),1/12 (8%),15,6,0,0,13/34 (38%),18/28 (64%),25,24,4,1,2,0,8,0,0,4,0,2
24/01/2021CruzeiroECNáuticoBrasileiroSerieB2020,2,4,18%,82%,5,1,1/4 (25%),3/8 (38%),0,1,2,3,0,0,49 (70%),300 (91%),1,1,1,1,0,0,1,2,36,42,0,0,0,0,0,0,8,6,3,5,2,2,70,329,1/4 (25%),2/3 (67%),12,6,0,1,8/20 (40%),24/32 (75%),17,15,0,0,0,0,1,2,2,1,0,0
29/01/2021ParanáClubeCruzeiroECBrasileiroSerieB2020,4,3,44%,56%,5,3,4/5 (80%),9/18 (50%),1,1,5,6,2,1,163 (76%),219 (81%),3,2,2,3,0,0,2,1,70,72,0,0,0,0,0,0,10,6,8,9,2,3,214,271,2/3 (67%),0/4 (0%),6,1,0,0,17/34 (50%),18/40 (45%),24,20,1,4,2,1,3,3,1,0,0,0
11/03/2021SãoRaimundoCruzeiroECCopadoBrasil2021,1,3,51%,49%,15,13,1/2 (50%),4/7 (57%),1,2,2,1,0,4,86 (57%),96 (68%),1,5,4,1,0,0,1,1,85,71,0,0,0,0,0,0,7,8,4,8,7,9,151,141,2/4 (50%),3/5 (60%),10,10,0,1,10/38 (26%),14/33 (42%),33,33,2,0,0,3,2,7,0,0,0,0
02/12/2020AméricaMineiroCruzeiroECBrasileiroSerieB2020,4,3,67%,33%,22,10,4/7 (57%),5/8 (63%),0,1,2,5,0,2,209 (78%),78 (60%),3,4,3,2,0,0,3,3,96,80,0,0,0,0,0,0,5,9,7,10,2,6,267,130,3/13 (23%),2/7 (29%),3,16,0,0,22/43 (51%),6/31 (19%),42,32,0,3,0,1,5,5,2,5,0,0
05/12/2020CruzeiroECGrêmioEsportivoBrasilBrasileiroSerieB2020,1,0,61%,39%,1,2,4/8 (50%),3/7 (43%),0,0,3,0,0,0,372 (94%),229 (91%),2,0,0,1,0,0,1,0,42,39,0,0,0,0,0,0,6,7,3,0,3,5,396,251,0/5 (0%),0/2 (0%),2,4,0,0,21/32 (66%),7/11 (64%),14,17,0,0,0,0,0,0,3,1,0,0
08/12/2020CRBCruzeiroECBrasileiroSerieB2020,2,2,53%,47%,8,6,2/3 (67%),1/3 (33%),0,1,1,2,0,0,198 (80%),165 (77%),2,1,1,2,0,0,2,0,76,72,0,0,0,0,0,0,6,8,6,3,4,8,247,215,2/11 (18%),1/8 (13%),5,7,0,0,20/38 (53%),15/32 (47%),22,22,2,0,0,0,5,1,2,2,0,0
11/12/2020VitóriaCruzeiroECBrasileiroSerieB2020,1,3,53%,47%,7,9,3/5 (60%),8/9 (89%),2,2,1,3,0,1,201 (89%),162 (84%),0,2,2,0,0,0,0,2,43,46,0,1,0,1,0,0,2,4,3,6,6,4,226,192,0/2 (0%),1/8 (13%),4,5,0,1,13/20 (65%),22/31 (71%),21,32,2,1,0,1,2,3,2,0,1,0
15/12/2020CruzeiroECCSABrasileiroSerieB2020,5,3,62%,38%,15,8,2/3 (67%),2/5 (40%),0,0,6,1,1,2,250 (85%),127 (72%),4,2,2,3,0,0,4,4,73,76,0,1,0,1,0,0,7,3,10,6,3,7,295,176,7/20 (35%),2/12 (17%),10,9,0,0,20/32 (63%),8/30 (27%),30,18,1,1,0,2,4,5,1,0,0,0
18/12/2020AvaíCruzeiroECBrasileiroSerieB2020,3,3,64%,36%,10,6,3/5 (60%),4/8 (50%),3,0,2,4,1,0,224 (87%),103 (71%),4,1,1,3,0,0,4,4,74,69,0,0,0,0,0,0,8,9,8,5,10,4,257,145,4/12 (33%),1/7 (14%),9,9,0,0,10/16 (63%),18/39 (46%),30,26,1,1,0,0,6,1,3,3,0,0
22/12/2020PontePretaCruzeiroECBrasileiroSerieB2020,2,1,52%,48%,4,9,2/6 (33%),5/7 (71%),0,1,3,3,0,0,225 (87%),179 (80%),4,2,2,2,0,0,2,4,59,68,0,0,0,0,0,0,4,10,7,4,8,4,258,223,2/4 (50%),2/12 (17%),8,2,0,0,23/33 (70%),12/27 (44%),21,30,1,1,0,0,4,1,0,1,0,0
29/12/2020CruzeiroECCuiabáBrasileiroSerieB2020,2,1,63%,37%,8,5,5/9 (56%),4/4 (100%),0,2,4,1,1,0,236 (85%),128 (78%),3,0,0,3,0,0,3,1,76,61,0,0,0,0,0,0,5,8,8,2,8,6,278,165,5/20 (25%),0/8 (0%),3,21,0,0,15/28 (54%),14/24 (58%),25,22,3,1,1,0,4,1,2,2,0,0
08/01/2021SampaioCorrêaCruzeiroECBrasileiroSerieB2020,5,1,76%,24%,9,9,5/9 (56%),4/7 (57%),3,1,12,2,0,0,260 (86%),53 (54%),5,1,1,5,0,0,4,3,72,64,0,0,0,0,0,0,6,7,24,2,2,10,301,98,7/18 (39%),0/2 (0%),2,17,0,0,18/23 (78%),15/40 (38%),26,27,14,0,0,0,12,0,1,4,0,2
13/01/2021CruzeiroECOesteBrasileiroSerieB2020,4,1,79%,21%,13,7,7/9 (78%),4/5 (80%),1,1,7,2,0,0,260 (82%),45 (54%),3,1,1,3,0,0,3,1,88,67,0,0,0,0,0,0,8,5,11,3,6,17,316,84,2/14 (14%),0/3 (0%),4,20,1,0,18/35 (51%),7/29 (24%),36,23,4,1,0,0,4,1,0,0,0,0
11/10/2020OesteCruzeiroECBrasileiroSerieB2020,4,4,60%,40%,5,3,2/4 (50%),6/10 (60%),0,0,3,5,0,0,283 (90%),166 (84%),2,1,1,2,0,0,0,1,49,54,0,0,0,0,0,0,7,3,7,10,5,6,315,198,1/7 (14%),2/11 (18%),9,5,0,0,18/25 (72%),14/26 (54%),23,21,1,5,0,0,4,5,1,0,0,0
16/10/2020CruzeiroECJuventudeBrasileiroSerieB2020,4,2,55%,45%,10,14,7/9 (78%),8/12 (67%),0,1,4,4,2,1,217 (89%),167 (81%),3,3,3,3,0,0,5,2,64,61,0,0,0,0,0,0,5,6,14,6,4,8,244,207,10/18 (56%),3/5 (60%),4,12,0,0,11/19 (58%),18/36 (50%),31,32,7,1,2,1,10,2,2,1,0,0
20/10/2020OperárioFerroviárioCruzeiroECBrasileiroSerieB2020,5,2,46%,54%,11,6,4/4 (100%),3/8 (38%),1,0,1,3,3,0,121 (70%),157 (80%),3,3,2,3,0,0,2,4,71,63,0,0,0,0,0,0,6,3,8,6,3,3,172,196,1/8 (13%),4/9 (44%),9,16,0,0,22/38 (58%),8/19 (42%),35,21,0,1,3,0,7,3,4,1,0,0
25/10/2020NáuticoCruzeiroECBrasileiroSerieB2020,2,4,45%,55%,10,8,1/1 (100%),5/8 (63%),1,0,5,3,1,1,130 (76%),165 (85%),1,2,1,1,0,0,2,9,68,73,0,0,0,0,0,0,10,6,7,11,1,6,170,195,0/10 (0%),5/22 (23%),14,10,0,0,14/29 (48%),19/31 (61%),33,28,4,5,1,0,2,8,0,3,0,0
30/10/2020CruzeiroECParanáClubeBrasileiroSerieB2020,0,4,38%,62%,7,13,3/10 (30%),8/12 (67%),2,0,2,1,0,0,115 (73%),211 (85%),1,0,0,1,0,0,1,2,76,84,0,0,0,0,0,0,10,13,2,5,5,3,157,247,0/3 (0%),5/19 (26%),15,3,0,0,21/45 (47%),16/21 (76%),25,44,1,1,0,0,0,4,3,2,0,0
06/11/2020BotafogoSPCruzeiroECBrasileiroSerieB2020,3,0,52%,48%,11,12,9/12 (75%),7/14 (50%),2,0,3,1,0,0,130 (81%),107 (72%),3,2,1,3,0,0,2,1,78,68,0,0,0,0,0,0,11,11,7,2,9,9,160,148,3/18 (17%),5/10 (50%),6,28,0,0,17/28 (61%),16/36 (44%),40,34,1,0,0,0,4,1,2,4,0,0
09/11/2020CruzeiroECGuaraniBrasileiroSerieB2020,4,3,44%,56%,5,3,4/4 (100%),7/8 (88%),0,0,5,1,1,1,143 (78%),195 (85%),2,3,2,1,0,0,1,2,56,59,0,0,0,0,0,0,8,5,7,7,8,12,184,229,2/6 (33%),2/9 (22%),7,1,1,0,14/31 (45%),13/25 (52%),22,20,1,1,0,0,2,6,3,1,1,0
20/11/2020CruzeiroECFigueirenseBrasileiroSerieB2020,1,3,45%,55%,4,10,1/4 (25%),3/3 (100%),1,1,3,3,0,0,127 (76%),171 (82%),3,1,1,3,0,0,6,1,69,51,0,1,0,1,0,0,4,7,5,6,7,10,167,208,2/14 (14%),2/7 (29%),7,16,0,0,8/25 (32%),23/37 (62%),18,31,1,2,0,0,2,3,2,2,0,0
24/11/2020ChapecoenseCruzeiroECBrasileiroSerieB2020,2,5,60%,40%,4,3,3/4 (75%),2/4 (50%),0,0,3,7,1,0,176 (79%),112 (79%),1,2,1,1,0,0,1,4,58,52,0,0,0,0,0,0,11,4,5,10,6,13,222,141,2/8 (25%),4/10 (40%),6,5,0,1,18/35 (51%),19/36 (53%),25,19,2,3,1,0,2,3,3,0,0,0
27/11/2020CruzeiroECConfiançaBrasileiroSerieB2020,3,5,61%,39%,13,13,6/11 (55%),3/6 (50%),1,0,5,4,3,1,182 (77%),101 (68%),4,2,2,3,0,0,3,1,79,65,0,0,0,0,0,0,4,6,10,7,3,7,235,149,3/14 (21%),1/6 (17%),3,24,0,0,25/40 (63%),8/34 (24%),36,36,3,0,2,1,5,3,2,2,0,0
26/08/2020CRBCruzeiroECCopadoBrasil2020,1,3,39%,61%,13,8,4/11 (36%),6/12 (50%),0,1,1,2,1,0,117 (66%),204 (80%),1,3,3,0,0,0,0,3,83,87,0,0,0,0,0,0,8,11,2,7,15,5,176,256,3/5 (60%),2/16 (13%),12,1,0,0,19/53 (36%),11/25 (44%),35,32,0,1,0,0,1,5,2,3,0,0
29/08/2020CruzeiroECAméricaMineiroBrasileiroSerieB2020,1,0,70%,30%,11,7,0/2 (0%),3/4 (75%),1,0,7,0,0,0,260 (86%),71 (57%),3,0,0,2,0,0,5,2,76,77,0,0,0,0,0,0,4,12,8,0,7,7,303,125,5/15 (33%),1/7 (14%),6,6,0,0,22/37 (59%),14/49 (29%),25,30,4,0,0,0,1,0,2,0,0,0
02/09/2020GrêmioEsportivoBrasilCruzeiroECBrasileiroSerieB2020,1,5,41%,59%,10,10,3/8 (38%),1/4 (25%),1,0,3,8,1,0,128 (72%),188 (80%),2,4,4,1,0,0,0,2,78,73,0,0,0,0,0,0,7,8,6,12,2,2,177,236,1/7 (14%),5/16 (31%),11,8,0,0,17/38 (45%),18/32 (56%),25,24,3,3,0,0,3,4,1,2,0,0
07/09/2020CruzeiroECCRBBrasileiroSerieB2020,1,0,48%,52%,5,8,4/6 (67%),2/3 (67%),0,2,1,0,0,0,184 (80%),199 (83%),0,2,1,0,0,0,2,2,66,69,0,0,0,0,0,0,9,5,3,2,1,9,229,239,1/10 (10%),3/12 (25%),11,10,0,1,10/31 (32%),16/34 (47%),24,21,2,0,0,0,2,2,0,1,0,0
11/09/2020CruzeiroECVitóriaBrasileiroSerieB2020,6,3,51%,49%,6,7,10/10 (100%),2/6 (33%),2,1,6,5,1,0,181 (82%),166 (79%),3,2,2,2,0,0,4,0,75,73,0,0,2,0,0,0,11,14,13,9,12,6,220,209,4/13 (31%),1/7 (14%),5,10,1,0,27/42 (64%),13/33 (39%),31,34,4,4,0,0,7,4,1,1,0,0
19/09/2020CSACruzeiroECBrasileiroSerieB2020,1,2,24%,76%,8,15,1/3 (33%),4/11 (36%),0,0,1,2,2,0,55 (53%),275 (90%),2,1,0,1,0,0,3,2,75,75,0,0,0,0,0,0,11,6,4,5,4,6,103,307,1/7 (14%),4/28 (14%),14,9,1,0,7/31 (23%),27/38 (71%),23,30,1,2,1,0,3,3,2,1,1,0
25/09/2020CruzeiroECAvaíBrasileiroSerieB2020,6,1,76%,24%,10,14,5/12 (42%),4/5 (80%),1,0,7,1,2,1,268 (90%),50 (50%),4,2,1,4,0,0,9,0,77,57,0,0,0,0,0,0,1,11,15,3,2,3,299,100,8/34 (24%),1/2 (50%),0,26,0,0,8/12 (67%),15/35 (43%),25,36,5,0,2,0,8,2,2,1,0,0
30/09/2020CruzeiroECPontePretaBrasileiroSerieB2020,3,1,47%,53%,8,2,6/9 (67%),2/7 (29%),2,2,2,0,1,0,147 (81%),167 (82%),6,0,0,5,0,0,2,1,62,74,0,0,0,0,0,0,13,4,9,1,10,13,181,204,1/9 (11%),1/5 (20%),5,4,1,0,21/30 (70%),15/28 (54%),31,15,0,0,0,0,7,1,2,1,0,0
03/10/2020CuiabáCruzeiroECBrasileiroSerieB2020,2,1,46%,54%,8,8,3/6 (50%),3/7 (43%),0,1,3,3,1,0,142 (76%),177 (81%),2,1,1,1,0,0,0,0,66,66,0,0,0,0,0,0,7,6,5,3,12,10,188,219,2/10 (20%),0/4 (0%),7,5,0,0,13/30 (43%),16/35 (46%),29,24,1,1,0,0,2,0,0,1,0,0
08/10/2020CruzeiroECSampaioCorrêaBrasileiroSerieB2020,7,0,68%,32%,6,12,1/3 (33%),7/12 (58%),0,0,5,0,2,1,255 (86%),97 (70%),1,2,1,0,0,0,4,2,65,67,0,0,0,0,0,0,9,8,8,2,2,6,296,138,5/11 (45%),1/4 (25%),2,6,0,0,13/26 (50%),18/32 (56%),22,36,0,0,2,1,3,2,1,2,0,0
08/08/2020CruzeiroECBotafogoSPBrasileiroSerieB2020,3,3,52%,48%,11,14,10/13 (77%),9/11 (82%),1,0,2,2,1,0,181 (80%),169 (82%),3,3,2,1,0,0,8,1,71,64,0,0,0,0,0,0,4,6,7,7,1,9,226,205,5/15 (33%),2/15 (13%),17,13,0,0,22/37 (59%),18/30 (60%),33,39,1,1,0,0,5,5,1,0,0,0
11/08/2020GuaraniCruzeiroECBrasileiroSerieB2020,6,1,66%,34%,10,10,10/13 (77%),3/4 (75%),3,0,4,1,2,1,276 (87%),120 (76%),5,2,1,4,0,0,2,2,72,62,0,0,0,0,0,0,6,7,14,7,6,9,317,157,7/17 (41%),4/9 (44%),4,13,0,0,10/19 (53%),12/28 (43%),34,26,3,4,1,0,10,6,2,2,0,0
16/08/2020FigueirenseCruzeiroECBrasileiroSerieB2020,2,3,63%,37%,7,5,12/25 (48%),3/8 (38%),2,2,1,3,0,0,219 (84%),101 (67%),1,1,1,1,0,0,5,1,92,71,0,0,0,0,0,0,6,20,4,4,7,5,261,151,4/17 (24%),2/6 (33%),6,17,0,0,33/51 (65%),13/33 (39%),40,34,1,0,0,0,3,1,1,1,0,0
20/08/2020CruzeiroECChapecoenseBrasileiroSerieB2020,5,2,75%,25%,12,14,6/10 (60%),7/7 (100%),0,1,2,0,1,1,253 (85%),69 (63%),1,2,2,1,0,0,10,1,85,62,0,0,0,1,0,0,9,4,10,4,9,13,296,110,10/38 (26%),0/1 (0%),1,32,0,0,17/30 (57%),8/29 (28%),32,30,4,0,1,1,8,4,0,2,0,0
23/08/2020ConfiançaCruzeiroECBrasileiroSerieB2020,2,3,34%,66%,17,18,5/10 (50%),12/16 (75%),2,1,2,3,0,0,110 (72%),229 (79%),0,2,2,0,0,0,2,3,80,87,0,0,0,0,0,0,7,7,2,5,11,6,153,291,0/5 (0%),3/9 (33%),13,10,0,0,24/40 (60%),15/32 (47%),36,44,0,0,0,0,0,2,1,0,0,0
11/03/2020CruzeiroECCRBCopadoBrasil2020,7,0,65%,35%,16,8,3/3 (100%),7/9 (78%),0,0,11,3,0,1,228 (86%),110 (73%),2,3,2,2,0,0,5,2,67,65,0,0,0,1,0,0,7,5,16,5,5,5,266,151,5/21 (24%),1/3 (33%),5,20,0,0,15/26 (58%),10/32 (31%),31,23,7,2,0,0,5,2,4,2,0,0
23/11/2019SantosCruzeiroECBrasileiroSerieA2019,4,4,54%,46%,2,6,2/4 (50%),6/9 (67%),2,0,7,2,2,0,184 (84%),151 (82%),7,0,0,4,0,0,7,3,65,65,0,0,0,0,0,0,8,6,13,5,8,5,220,184,2/10 (20%),1/8 (13%),10,7,0,0,24/33 (73%),11/23 (48%),21,24,2,1,0,0,6,3,2,2,0,0
27/06/2021CSACruzeiroECBrasileiroSerieB2021,3,5,38%,62%,10,11,7/8 (88%),3/10 (30%),1,1,1,7,1,0,137 (76%),233 (84%),1,1,1,1,0,0,0,6,66,83,0,0,0,0,0,0,11,6,4,11,9,5,181,277,1/3 (33%),4/18 (22%),22,2,0,0,15/31 (48%),28/39 (72%),31,23,0,5,1,0,3,4,1,0,0,0
30/06/2021CruzeiroECGuaraniBrasileiroSerieB2021,4,9,44%,56%,15,11,1/4 (25%),8/8 (100%),0,1,3,8,1,1,123 (74%),158 (79%),1,2,1,1,0,0,0,4,71,70,1,0,1,0,0,0,5,11,5,14,6,5,167,200,1/7 (14%),3/17 (18%),18,4,0,0,11/28 (39%),7/23 (30%),29,42,0,3,1,0,2,6,0,4,0,0
03/07/2021GrêmioEsportivoBrasilCruzeiroECBrasileiroSerieB2021,3,6,39%,61%,4,15,2/5 (40%),2/9 (22%),0,1,5,5,0,0,95 (73%),168 (78%),2,2,2,2,0,0,5,7,70,77,0,0,0,0,0,0,11,9,6,11,7,2,131,215,2/13 (15%),3/13 (23%),13,14,0,0,11/29 (38%),14/25 (56%),25,31,1,3,0,0,1,6,1,1,0,0
06/07/2021CruzeiroECCoritibaBrasileiroSerieB2021,3,6,48%,52%,11,5,3/6 (50%),2/6 (33%),2,1,3,6,1,1,171 (85%),186 (84%),2,2,2,2,0,0,4,2,58,62,0,0,0,0,0,0,6,4,8,10,5,0,201,222,1/17 (6%),2/11 (18%),11,12,0,1,22/36 (61%),22/37 (59%),25,20,3,2,1,1,5,4,2,0,0,0
10/07/2021BotafogoCruzeiroECBrasileiroSerieB2021,2,2,59%,41%,8,10,8/14 (57%),1/4 (25%),0,0,3,1,3,2,161 (79%),108 (77%),3,3,1,1,0,0,2,2,77,59,0,0,0,0,0,0,6,10,8,5,2,5,203,140,1/13 (8%),3/13 (23%),6,15,0,0,7/24 (29%),15/28 (54%),28,28,3,0,1,1,5,4,2,2,0,0
17/07/2021CruzeiroECAvaíBrasileiroSerieB2021,6,3,63%,37%,5,7,8/11 (73%),3/4 (75%),2,0,5,2,2,2,246 (87%),140 (80%),1,3,1,1,0,0,2,1,66,60,0,0,0,0,0,0,6,4,10,7,5,2,283,174,3/16 (19%),2/4 (50%),4,14,1,0,13/22 (59%),12/30 (40%),26,17,3,1,2,0,5,5,1,2,0,0
20/07/2021ClubeDoRemoCruzeiroECBrasileiroSerieB2021,5,4,46%,54%,10,9,9/13 (69%),5/8 (63%),0,1,3,4,0,0,173 (80%),191 (77%),1,0,0,1,0,0,1,3,71,86,0,0,0,0,0,0,7,10,6,8,11,1,216,247,0/2 (0%),2/14 (14%),14,0,0,1,8/22 (36%),24/38 (63%),34,30,0,4,0,0,3,4,0,1,0,1
24/07/2021VilaNovaCruzeiroECBrasileiroSerieB2021,4,6,43%,57%,10,9,0/8 (0%),1/3 (33%),0,1,5,2,0,1,119 (76%),176 (80%),0,2,2,0,0,0,5,1,81,73,0,1,0,1,0,0,7,20,7,8,2,7,157,221,2/12 (17%),3/10 (30%),5,10,0,0,8/21 (38%),31/51 (61%),26,38,3,0,0,1,2,6,1,3,0,0
30/07/2021CruzeiroECLondrinaBrasileiroSerieB2021,4,1,67%,33%,9,11,3/8 (38%),2/4 (50%),0,0,3,1,3,0,241 (85%),109 (74%),5,2,2,4,0,0,5,1,79,61,0,0,0,0,0,0,15,7,12,3,2,9,283,148,4/26 (15%),0/2 (0%),4,19,0,0,24/34 (71%),10/25 (40%),43,27,3,0,2,0,9,2,3,1,0,0
07/08/2021BrusqueCruzeiroECBrasileiroSerieB2021,3,2,35%,65%,10,16,3/5 (60%),5/8 (63%),2,1,2,8,1,1,94 (68%),195 (80%),1,6,4,0,0,0,1,11,70,86,0,0,0,0,0,0,13,6,5,11,4,2,138,243,0/5 (0%),3/17 (18%),19,5,0,0,19/41 (46%),10/26 (38%),33,31,1,3,0,0,3,3,2,3,0,0
11/08/2021CruzeiroECVitóriaBrasileiroSerieB2021,4,2,59%,41%,9,7,6/8 (75%),3/5 (60%),0,0,8,2,2,1,230 (86%),153 (81%),5,1,0,3,0,0,3,0,63,56,0,0,0,0,0,0,7,3,11,4,7,8,268,188,2/12 (17%),2/4 (50%),2,8,0,0,20/34 (59%),19/37 (51%),33,18,2,1,1,0,3,2,2,4,0,0
14/08/2021CruzeiroECSampaioCorrêaBrasileiroSerieB2021,9,1,63%,37%,6,6,4/4 (100%),2/4 (50%),0,0,9,0,1,0,232 (88%),113 (70%),6,0,0,5,0,0,5,1,69,71,0,0,0,0,0,0,5,6,17,1,5,2,263,162,3/18 (17%),1/3 (33%),1,15,1,0,8/20 (40%),22/47 (47%),23,28,2,0,0,0,8,1,3,1,0,0
17/08/2021NáuticoCruzeiroECBrasileiroSerieB2021,1,4,54%,46%,16,13,6/6 (100%),9/14 (64%),2,0,4,3,1,3,95 (73%),79 (66%),4,3,2,4,0,0,4,3,75,70,0,0,0,0,0,0,13,4,10,9,7,2,131,119,4/17 (24%),3/10 (30%),9,11,0,0,13/27 (48%),15/33 (45%),44,36,5,2,1,2,6,6,1,1,0,0
20/08/2021CruzeiroConfiançaBrasileiroSerieB2021,3,1,55%,45%,3,4,5/11 (45%),5/8 (63%),1,0,8,3,1,0,165 (84%),127 (77%),4,1,1,3,0,0,8,2,57,62,1,0,1,0,0,0,6,7,12,3,3,3,197,166,2/12 (17%),0/6 (0%),4,8,0,0,7/17 (41%),10/26 (38%),26,24,5,1,0,0,4,0,0,2,0,0
29/08/2021CRBCruzeiroBrasileiroSerieB2021,4,2,52%,48%,8,20,1/5 (20%),5/7 (71%),0,0,1,5,0,0,98 (65%),107 (72%),1,2,2,1,0,0,5,2,84,65,0,2,0,2,0,0,10,6,5,9,1,6,151,149,3/16 (19%),2/8 (25%),5,17,0,0,10/39 (26%),10/25 (40%),29,35,0,5,0,0,4,4,2,0,0,0
07/09/2021GoiásCruzeiroBrasileiroSerieB2021,3,4,59%,41%,9,9,3/9 (33%),8/13 (62%),0,1,0,5,0,1,197 (86%),135 (80%),1,2,1,0,0,1,4,0,70,61,0,1,0,2,0,0,9,10,7,6,4,7,230,168,4/15 (27%),0/3 (0%),2,15,0,0,26/39 (67%),9/21 (43%),26,31,3,0,0,0,7,1,2,0,0,0
